round,clone,number,P0,A1,A0,f,ss.f,length,mm,time ,fecundity,death.age,end.size,dead,infected,susceptible,spore yield,mult.inf,mult.uninf,mult.ed,tolerant
1,Bris.6,14,0,259.54,385.9988889,16.77798631,8.766496475,71,1.383429036,0.354861111,20,,103,0,0,1,,0,1,0,Yes
1,Bris.6,15,0,277.95,385.9988889,13.88120194,7.252926877,71,1.383429036,0.354861111,15,,90,0,0,1,,0,1,0,Yes
1,Bris.6,1,75,,,,,avg,1.228245598,0.354861111,15,22,91,1,1,0,52.875,1,0,0,Yes
1,Bris.6,2,75,,,,,avg,1.228245598,0.354861111,16,22,89,1,1,0,50.125,1,0,0,Yes
1,Bris.6,3,75,,,,,avg,1.228245598,0.354861111,6,17,92,1,1,0,40,1,0,0,Yes
1,Bris.6,4,75,,,,,avg,1.228245598,0.354861111,25,,102,0,0,1,0,0,1,0,Yes
1,Bris.6,5,75,,,,,avg,1.228245598,0.354861111,25,,100,0,0,1,0,0,1,0,Yes
1,Bris.6,6,75,,,,,avg,1.228245598,0.354861111,25,,101,0,0,1,0,0,1,0,Yes
1,Bris.6,7,75,,,,,avg,1.228245598,0.354861111,4,16,74,1,1,0,16.365,1,0,0,Yes
1,Bris.6,8,75,,,,,avg,1.228245598,0.354861111,7,15,84,1,0,1,0,0,1,0,Yes
1,Bris.6,9,75,,,,,avg,1.228245598,0.354861111,24,,99,0,0,1,0,0,1,0,Yes
1,Bris.6,10,75,,,,,avg,1.228245598,0.354861111,22,,95,0,0,1,0,0,1,0,Yes
1,Bris.6,11,75,,,,,avg,1.228245598,0.354861111,3,14,72,1,0,1,0,0,1,0,Yes
1,Bris.6,12,75,,,,,avg,1.228245598,0.354861111,13,23,87,1,1,0,29.375,1,0,0,Yes
1,Bris.6,1,200,,,,,avg,1.228245598,0.354861111,20,,88,0,0,1,0,0,1,0,Yes
1,Bris.6,2,200,,,,,avg,1.228245598,0.354861111,23,,99,0,0,1,0,0,1,0,Yes
1,Bris.6,3,200,,,,,avg,1.228245598,0.354861111,15,18,86,1,1,0,34.875,1,0,0,Yes
1,Bris.6,5,200,,,,,avg,1.228245598,0.354861111,14,20,89,1,1,0,40.5,1,0,0,Yes
1,Bris.6,6,200,,,,,avg,1.228245598,0.354861111,12,19,85,1,1,0,43.25,1,0,0,Yes
1,Bris.6,7,200,,,,,avg,1.228245598,0.354861111,13,,87,0,0,1,0,0,1,0,Yes
1,Bris.6,8,200,,,,,avg,1.228245598,0.354861111,17,20,79,1,1,0,38.125,1,0,0,Yes
1,Bris.6,9,200,,,,,avg,1.228245598,0.354861111,10,16,90,1,1,0,,1,0,0,Yes
1,Bris.6,10,200,,,,,avg,1.228245598,0.354861111,20,20,89,1,1,0,42.5,1,0,0,Yes
1,Bris.6,11,200,,,,,avg,1.228245598,0.354861111,11,16,86,1,1,0,24.75,1,0,0,Yes
1,Bris.6,12,200,,,,,avg,1.228245598,0.354861111,22,,99,0,0,1,0,0,1,0,Yes
1,Bris.6,13,200,,,,,avg,1.228245598,0.354861111,14,22,89,1,1,0,45.5,1,0,0,Yes
1,Bris.6,14,200,,,,,avg,1.228245598,0.354861111,0,10,,1,0,1,0,0,0,1,Yes
1,Bris.6,15,200,,,,,avg,1.228245598,0.354861111,6,17,86,1,1,0,38.875,1,0,0,Yes
