Genotype,Spores,Sample,Replicate,Time,Abs,Prop_inf,No_in_sample
A45,150,2,2,2,0.2604,0.143,7
A45,150,3,1,2,0.2298,0,7
A45,150,3,2,2,0.2669,0,7
A45,150,1,1,3,0.2668,1,7
A45,150,1,2,3,0.277,1,7
A45,150,2,1,3,0.2754,0.143,7
A45,150,2,2,3,0.2727,0.143,7
A45,150,3,1,3,0.2399,0,7
A45,150,3,2,3,0.2799,0,7
A45,150,1,1,4,0.2789,1,7
A45,150,1,2,4,0.2924,1,7
A45,150,2,1,4,0.2882,0.143,7
A45,150,2,2,4,0.289,0.143,7
A45,150,3,1,4,0.2519,0,7
A45,150,3,2,4,0.298,0,7
A45,150,1,1,4.5,0.2852,1,7
A45,150,1,2,4.5,0.2995,1,7
A45,150,2,1,4.5,0.2962,0.143,7
A45,150,2,2,4.5,0.296,0.143,7
A45,150,3,1,4.5,0.2566,0,7
A45,150,3,2,4.5,0.3034,0,7
A45,300,1,1,0,1.2594,0,7
A45,300,1,2,0,1.2991,0,7
A45,300,2,1,0,1.7947,1,7
A45,300,2,2,0,1.1768,1,7
A45,300,3,1,0,1.2573,0.143,7
A45,300,3,2,0,0.8415,0.143,7
A45,300,1,1,1,0.2516,0,7
A45,300,1,2,1,0.2619,0,7
A45,300,2,1,1,0.3175,1,7
A45,300,2,2,1,0.2677,1,7
A45,300,3,1,1,0.2394,0.143,7
A45,300,3,2,1,0.3038,0.143,7
A45,300,1,1,2,0.2692,0,7
A45,300,1,2,2,0.2758,0,7
A45,300,2,1,2,0.3364,1,7
A45,300,2,2,2,0.2818,1,7
A45,300,3,1,2,0.2551,0.143,7
A45,300,3,2,2,0.3235,0.143,7
A45,300,1,1,3,0.2855,0,7
A45,300,1,2,3,0.2918,0,7
A45,300,2,1,3,0.3557,1,7
A45,300,2,2,3,0.2983,1,7
A45,300,3,1,3,0.2697,0.143,7
A45,300,3,2,3,0.341,0.143,7
A45,300,1,1,4,0.3004,0,7
A45,300,1,2,4,0.3123,0,7
A45,300,2,1,4,0.3766,1,7
A45,300,2,2,4,0.3175,1,7
A45,300,3,1,4,0.2843,0.143,7
A45,300,3,2,4,0.3613,0.143,7
A45,300,1,1,4.5,0.3077,0,7
A45,300,1,2,4.5,0.3202,0,7
A45,300,2,1,4.5,0.3879,1,7
A45,300,2,2,4.5,0.3256,1,7
A45,300,3,1,4.5,0.2904,0.143,7
A45,300,3,2,4.5,0.3724,0.143,7
